23:04:44: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
23:04:44: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 60] HeartbeatReceiver created successfully
23:04:44: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:45: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:46: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:04:46: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:47: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:04:47: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:48: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:04:48: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:49: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:04:50: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 2)
23:04:51: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 3)
23:04:52: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 4)
23:04:53: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 5)
23:04:54: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 6)
23:04:55: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 7)
23:04:56: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 8)
23:04:57: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:58: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:04:58: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:04:59: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:04:59: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:05:00: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:05:00: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:05:01: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:05:02: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:05:03: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 79] Heartbeat received
23:05:04: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 1)
23:05:05: [WARNING] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 70] Missed heartbeat (consecutive misses: 2)
23:05:05: [INFO] [/Users/mingzheli/Documents/vscode/uwarg/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 72] Heartbeat receiver worker exiting
